"receita";"uniorcam";"arrecadado_janeiro";"arrecadado_fevereiro";"arrecadado_marco";"arrecadado_abril";"arrecadado_maio";"arrecadado_junho";"arrecadado_julho";"arrecadado_agosto";"arrecadado_setembro";"arrecadado_outubro";"arrecadado_novembro";"arrecadado_dezembro";"meta_1bim";"meta_2bim";"meta_3bim";"meta_4bim";"meta_5bim";"meta_6bim";"caracteristica_peculiar_receita";"recurso_vinculado";"complemento_recurso_vinculado";"exercicio_base"
"00000111801110100000";"0201";0;0;18627,36;23019,43;39048,07;108717,99;2740,57;4022,27;3580,42;668,04;1240,26;2929,23;32335,82;32335,82;32335,82;32335,82;34335,82;84335,8;0;1;NA;2018
"00000111801110200000";"0201";0;0;7761,71;9591,75;16270,63;45300,55;1141,95;1676,03;1491,9;278,35;516,82;1220,54;13473,26;13473,26;13473,26;13473,26;35973,26;16473,24;0;20;NA;2018
"00000111801110300000";"0201";0;0;4656,94;5754,9;9762,3;27179,97;685,18;1005,59;895,12;167,01;310,08;732,32;91,49;10088,79;32727,53;2580,66;14444,71;2070,55;0;40;NA;2018
"00000111801120000000";"0201";0;0;0;0;0;172,01;471,73;822,51;934,2;181,95;367,47;911,36;355,2;355,2;386,63;500,71;625,57;618,36;0;0;NA;2018
"00000111801120100000";"0201";0;0;0;0;0;103,17;283;493,46;560,48;109,16;220,45;546,8;284,16;284,16;284,16;284,16;284,16;284,2;0;1;NA;2018
"00000111801120200000";"0201";0;0;0;0;0;43,04;117,96;205,66;233,57;45,49;91,89;227,88;0;0;31,43;145,51;270,37;263,11;0;20;NA;2018
"00000111801120300000";"0201";0;0;0;0;0;25,8;70,77;123,39;140,15;27,3;55,13;136,68;71,04;71,04;71,04;71,04;71,04;71,05;0;40;NA;2018
"00000111801130000000";"0201";1830;2066,61;7941,35;3905,51;8240,49;3850,53;5834,81;1722,65;4848,21;2052,19;4280,81;5611,77;11856,8;11856,8;11856,8;11856,8;11856,8;11856,9;0;0;NA;2018
"00000111801130100000";"0201";1097,97;1239,9;4764,71;2343,28;4944,28;2310,26;3500,78;1033,55;2908,92;1231,28;2568,37;3367,01;7114,08;7114,08;7114,08;7114,08;7114,08;7114,14;0;1;NA;2018
"00000111801130200000";"0201";457,52;516,69;1985,43;976,43;2060,17;962,71;1458,78;430,7;1212,08;513,08;1070,26;1402,98;2964,2;2964,2;2964,2;2964,2;2964,2;2964,22;0;20;NA;2018
"00000111801130300000";"0201";274,51;310,02;1191,21;585,8;1236,04;577,56;875,25;258,4;727,21;307,83;642,18;841,78;1778,52;1778,52;1778,52;1778,52;1778,52;1778,54;0;40;NA;2018
"00000111801140000000";"0201";353,07;633,38;3554,45;1532,29;3136,83;1102,82;2166,03;407,74;1952,25;526,91;1507,85;1150,69;4005,04;4005,04;4005,04;4005,04;4005,04;4005,06;0;0;NA;2018
"00000111801140100000";"0201";211,83;380,01;2132,61;919,33;1882,07;661,66;1299,59;244,61;1171,29;316,12;904,68;690,3;2403,02;2403,02;2403,02;2403,02;2403,02;2403,06;0;1;NA;2018
"00000111801140200000";"0201";88,28;158,37;888,67;383,11;784,24;275,72;541,53;101,96;488,1;131,75;377;287,73;1001,26;1001,26;1001,26;1001,26;1001,26;1001,26;0;20;NA;2018
