"uniorcam";"funcao";"subfuncao";"programa";"obsoleto1";"projativ";"elemento";"recurso_vinculado";"dotacao_inicial";"atualizacao_monetaria";"credito_suplementar";"credito_especial";"credito_extraordinario";"reducao_dotacao";"suplementacao_recurso_vinculado";"reducao_recurso_vinculado";"empenhado";"liquidado";"pago";"limitado";"recomposto";"previsao_ate_termino";"complemento_recurso_vinculado";"exercicio_base"
"0301";4;126;1;"000";2011;"339036";1;2000;0;0;0;0;2000;0;0;0;0;0;0;0;0;NA;2018
"0301";4;126;1;"000";2011;"339039";1;15000;0;1650;0;0;15000;0;0;1650;1650;1650;0;0;1650;NA;2018
"0301";4;126;1;"000";2011;"449052";1;10000;0;11550;0;0;13475;0;0;8051;8051;8051;0;0;8075;NA;2018
"0301";4;126;1;"000";2113;"339039";1;4000;0;0;0;0;4000;0;0;0;0;0;0;0;0;NA;2018
"0301";4;126;1;"000";2113;"449030";1;56350;0;0;0;0;56350;0;0;0;0;0;0;0;0;NA;2018
"0301";4;126;1;"000";2113;"449039";1;24150;0;0;0;0;24150;0;0;0;0;0;0;0;0;NA;2018
"0301";4;131;1;"000";2012;"339030";1;3000;0;0;0;0;3000;0;0;0;0;0;0;0;0;NA;2018
"0301";4;131;1;"000";2012;"339036";1;1000;0;0;0;0;1000;0;0;0;0;0;0;0;0;NA;2018
"0301";4;131;1;"000";2012;"339039";1;50000;0;41023,1;0;0;4403,97;0;0;86474;86074;86074;0;0;86619,13;NA;2018
"0301";4;131;1;"000";2012;"449052";1;7500;0;0;0;0;7500;0;0;0;0;0;0;0;0;NA;2018
"0301";5;122;1;"000";2013;"319011";1;1000;0;10204,7;0;0;861,9;0;0;10342,8;10342,8;10342,8;0;0;10342,8;NA;2018
"0301";5;122;1;"000";2013;"319113";1;500;0;0;0;0;500;0;0;0;0;0;0;0;0;NA;2018
"0301";5;122;1;"000";2013;"339014";1;1000;0;0;0;0;0;0;0;0;0;0;0;0;1000;NA;2018
"0301";5;122;1;"000";2013;"339030";1;1000;0;0;0;0;0;0;0;21,57;21,57;21,57;0;0;1000;NA;2018
"0301";5;122;1;"000";2013;"339033";1;1000;0;0;0;0;209,69;0;0;0;0;0;0;0;790,31;NA;2018
"0301";5;122;1;"000";2013;"339039";1;1000;0;0;0;0;1000;0;0;0;0;0;0;0;0;NA;2018
"0301";5;122;1;"000";2013;"449052";1;500;0;0;0;0;500;0;0;0;0;0;0;0;0;NA;2018
"0301";11;331;1;"000";2112;"319008";1;96000;0;0;0;0;96000;0;0;0;0;0;0;0;0;NA;2018
"0401";4;123;1;"000";2014;"339030";1;1000;0;0;0;0;0;0;0;0;0;0;0;0;1000;NA;2018
"0401";4;123;1;"000";2014;"339031";1;1000;0;0;0;0;0;0;0;0;0;0;0;0;1000;NA;2018
"0401";4;123;1;"000";2014;"339039";1;1000;0;0;0;0;0;0;0;0;0;0;0;0;1000;NA;2018
"0401";4;123;1;"000";2015;"319011";1;445000;0;110500;0;0;5405,83;0;0;550094,17;550094,17;550094,17;0;0;550094,17;NA;2018
"0401";4;123;1;"000";2015;"319013";1;28000;0;0;0;0;17233,2;0;0;10766,8;10766,8;10766,8;0;0;10766,8;NA;2018
"0401";4;123;1;"000";2015;"319016";1;3000;0;0;0;0;1000;0;0;1982,38;1982,38;1982,38;0;0;2000;NA;2018
"0401";4;123;1;"000";2015;"319094";1;500;0;2100;0;0;756,01;0;0;1843,99;1843,99;1843,99;0;0;1843,99;NA;2018
"0401";4;123;1;"000";2015;"319113";1;57000;0;13423,8;0;0;0;0;0;70423,8;70423,8;70423,8;0;0;70423,8;NA;2018
"0401";4;123;1;"000";2015;"339014";1;24000;0;0;0;0;2500;0;0;20691,17;20691,17;20691,17;0;0;21500;NA;2018
"0401";4;123;1;"000";2015;"339030";1;12000;0;0;0;0;0;0;0;11573,7;11573,7;11573,7;0;0;12000;NA;2018
"0401";4;123;1;"000";2015;"339033";1;12000;0;0;0;0;5000;0;0;2867,6;2867,6;2867,6;0;0;7000;NA;2018
"0401";4;123;1;"000";2015;"339035";1;10000;0;0;0;0;5000;0;0;411,67;411,67;411,67;0;0;5000;NA;2018
"0401";4;123;1;"000";2015;"339036";1;1000;0;500;0;0;1000;0;0;288,4;288,4;288,4;0;0;500;NA;2018
"0401";4;123;1;"000";2015;"339039";1;112000;0;30000;0;0;21155;0;0;117604,01;86818,01;86818,01;0;0;120845;NA;2018
"0401";4;123;1;"000";2015;"339046";1;30000;0;6464,4;0;0;0;0;0;36464,4;36464,4;36464,4;0;0;36464,4;NA;2018
"0401";4;123;1;"000";2015;"339093";1;5000;0;0;0;0;0;0;0;1480,84;1480,84;1480,84;0;0;5000;NA;2018
"0401";4;123;1;"000";2015;"449052";1;30000;0;1530;0;0;21500;0;0;9578;7738;7738;0;0;10030;NA;2018
"0501";4;122;1;"000";1006;"339030";1;6000;0;0;0;0;6000;0;0;0;0;0;0;0;0;NA;2018
"0501";4;122;1;"000";1006;"339036";1;600;0;0;0;0;0;0;0;0;0;0;0;0;600;NA;2018
"0501";4;122;1;"000";1006;"339039";1;6000;0;0;0;0;4500;0;0;0;0;0;0;0;1500;NA;2018
"0501";12;122;1;"000";2016;"319011";1;113400;0;45970,89;0;0;22000;0;0;137370,89;137370,89;137370,89;0;0;137370,89;NA;2018
"0501";12;122;1;"000";2016;"319013";1;11700;0;11709,96;0;0;2000;0;0;21409,96;21409,96;21409,96;0;0;21409,96;NA;2018
"0501";12;122;1;"000";2016;"319016";1;500;0;0;0;0;500;0;0;0;0;0;0;0;0;NA;2018
"0501";12;122;1;"000";2016;"319094";1;500;0;0;0;0;500;0;0;0;0;0;0;0;0;NA;2018
"0501";12;122;1;"000";2016;"319113";1;6750;0;2520,98;0;0;200,74;0;0;9070,24;9070,24;9070,24;0;0;9070,24;NA;2018
"0501";12;122;1;"000";2016;"339014";1;6000;0;8400;0;0;570;0;0;13528,59;13528,59;13528,59;0;0;13830;NA;2018
"0501";12;122;1;"000";2016;"339030";1;5000;0;5020;0;0;0;0;0;9989,92;9989,92;9989,92;0;0;10020;NA;2018
"0501";12;122;1;"000";2016;"339033";1;6000;0;0;0;0;1100;0;0;4389,62;4389,62;4389,62;0;0;4900;NA;2018
"0501";12;122;1;"000";2016;"339035";1;5000;0;0;0;0;5000;0;0;0;0;0;0;0;0;NA;2018
"0501";12;122;1;"000";2016;"339036";1;500;0;2000;0;0;2000;0;0;0;0;0;0;0;500;NA;2018
"0501";12;122;1;"000";2016;"339039";1;12000;0;10600;0;0;50;0;0;22369,93;22369,93;22369,93;0;0;22550;NA;2018
"0501";12;122;1;"000";2016;"339046";1;12360;0;431,1;0;0;0;0;0;12791,1;12791,1;12791,1;0;0;12791,1;NA;2018
"0501";12;122;1;"000";2016;"449052";1;5000;0;8500;0;0;2000;0;0;11313;11313;11313;0;0;11500;NA;2018
"0502";12;128;2;"000";2017;"339014";20;2100;0;2500;0;0;326,81;0;0;4273,19;4273,19;4273,19;0;0;4273,19;NA;2018
